disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,hash,lastRefresh,id
2247,1998-09-09T00:00:00.000Z,SUGARLOAF CREEK FIRE   (LEFLORE),1998-09-09T00:00:00.000Z,1998-09-12T00:00:00.000Z,Fire Suppression,OK,Oklahoma                      ,Fire,1998-11-20T00:00:00.000Z,2003-02-28T00:00:00.000Z,2001-02-01T00:00:00.000Z,4e057a560b26c7d297e6108c536ca2af,2018-03-09T18:42:01.194Z,5aa2d579cb4f0f7020b17898
2248,1998-09-25T00:00:00.000Z,TUCANNON FIRE   (COLUMBIA),1998-09-25T00:00:00.000Z,1998-09-25T00:00:00.000Z,Fire Suppression,WA,Washington                    ,Fire,1998-11-20T00:00:00.000Z,2003-02-04T00:00:00.000Z,2002-12-27T00:00:00.000Z,b66637b33c28a5ae90cca51f5fa7813a,2018-03-09T18:42:01.178Z,5aa2d579cb4f0f7020b1787e
2241,1998-09-04T00:00:00.000Z,LINDALE FIRE,1998-09-04T00:00:00.000Z,1998-09-05T00:00:00.000Z,Fire Suppression,TX,Texas                         ,Fire,1998-11-20T00:00:00.000Z,2003-05-29T00:00:00.000Z,2000-07-20T00:00:00.000Z,32717b6709b12853871e6b450a693a45,2018-03-09T18:42:01.180Z,5aa2d579cb4f0f7020b17881
3138,1999-03-10T00:00:00.000Z,SNOW,1999-03-03T00:00:00.000Z,1999-03-06T00:00:00.000Z,Emergency,NY,New York                      ,Snow,1999-03-15T00:00:00.000Z,2005-09-16T00:00:00.000Z,2005-09-07T00:00:00.000Z,1a9e63aae1b67ca03b42c2877b29bc01,2018-03-09T18:42:01.181Z,5aa2d579cb4f0f7020b17883
1259,1998-11-06T00:00:00.000Z,TROPICAL STORM MITCH,1998-11-04T00:00:00.000Z,1998-11-05T00:00:00.000Z,Major Disaster,FL,Florida                       ,Severe Storm(s),1999-03-02T00:00:00.000Z,2010-06-25T00:00:00.000Z,2010-06-22T00:00:00.000Z,04ef0a23e20cd8d78de2dfdc1eb27dc4,2018-03-09T18:42:01.183Z,5aa2d579cb4f0f7020b17886
1249,1998-09-28T00:00:00.000Z,HURRICANE GEORGES ,1998-09-25T00:00:00.000Z,1998-10-07T00:00:00.000Z,Major Disaster,FL,Florida                       ,Hurricane,1999-02-26T00:00:00.000Z,2013-03-26T00:00:00.000Z,2013-03-19T00:00:00.000Z,1c49ca72a7502ab4c397d6a71aeaa576,2018-03-09T18:42:01.184Z,5aa2d579cb4f0f7020b17888
2244,1998-09-05T00:00:00.000Z,SPEEGLEVILLE FIRE,1998-09-05T00:00:00.000Z,1998-09-05T00:00:00.000Z,Fire Suppression,TX,Texas                         ,Fire,1998-11-20T00:00:00.000Z,2003-05-29T00:00:00.000Z,2000-07-20T00:00:00.000Z,34442388ea5cbbd2e10b5734fdf8bdab,2018-03-09T18:42:01.186Z,5aa2d579cb4f0f7020b1788b
1274,1999-05-06T00:00:00.000Z,"TX, TORNADO 5/4/99",1999-05-04T00:00:00.000Z,1999-05-04T00:00:00.000Z,Major Disaster,TX,Texas                         ,Tornado,1999-05-06T00:00:00.000Z,2011-09-07T00:00:00.000Z,2011-08-22T00:00:00.000Z,aa52b7946946b8a1187f52447e094e80,2018-03-09T18:42:01.188Z,5aa2d579cb4f0f7020b1788d
2253,1999-04-15T00:00:00.000Z,FL-FIRES 04/13/99,1999-04-13T00:00:00.000Z,,Fire Suppression,FL,Florida,Fire,1999-04-29T00:00:00.000Z,2005-01-26T00:00:00.000Z,2004-12-21T00:00:00.000Z,7b5bf07bd1570cb55f2660488efc71ac,2019-10-10T20:03:54.256Z,5aa2d579cb4f0f7020b17890
1264,1999-01-21T00:00:00.000Z,SEVERE ICE STORM,1998-12-22T00:00:00.000Z,1998-12-28T00:00:00.000Z,Major Disaster,LA,Louisiana                     ,Severe Storm(s),1999-01-20T00:00:00.000Z,2003-10-03T00:00:00.000Z,2003-09-24T00:00:00.000Z,d197e4342f56587cd7d7056fe56d38e6,2018-03-09T18:42:01.191Z,5aa2d579cb4f0f7020b17892
